[2026-04-01 00:05:40] [PAGE  ] [admin/admin] [103.215.54.146] POST /accounts/index.php | Page loaded
[2026-04-01 00:05:40] [ACTION] [admin/admin] [103.215.54.146] POST /accounts/index.php | Ledger: posted expense Investment amount=55000 (entry ID: 1095)
[2026-04-01 00:05:40] [PAGE  ] [admin/admin] [103.215.54.146] GET /accounts/index.php | Page loaded
[2026-04-01 00:06:37] [PAGE  ] [admin/admin] [103.215.54.146] POST /accounts/index.php | Page loaded
[2026-04-01 00:06:37] [ACTION] [admin/admin] [103.215.54.146] POST /accounts/index.php | Ledger: posted income No idea amount=896 (entry ID: 1096)
[2026-04-01 00:06:37] [PAGE  ] [admin/admin] [103.215.54.146] GET /accounts/index.php | Page loaded
[2026-04-01 01:13:13] [PAGE  ] [-] [103.215.54.146] GET / | Page loaded
[2026-04-01 01:13:13] [PAGE  ] [-] [103.215.54.146] GET /auth/login.php | Page loaded
[2026-04-01 01:13:27] [PAGE  ] [-] [103.215.54.146] POST /auth/login.php | Page loaded
[2026-04-01 01:13:27] [ACTION] [admin/admin] [103.215.54.146] POST /auth/login.php | Login successful: Admin (role: admin)
[2026-04-01 01:13:27] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 01:13:31] [PAGE  ] [admin/admin] [103.215.54.146] GET /accounts/index.php | Page loaded
[2026-04-01 01:14:22] [PAGE  ] [admin/admin] [103.215.54.146] POST /accounts/index.php | Page loaded
[2026-04-01 01:14:22] [ACTION] [admin/admin] [103.215.54.146] POST /accounts/index.php | Ledger: posted income Fortuner amount=2500 (entry ID: 1097)
[2026-04-01 01:14:22] [PAGE  ] [admin/admin] [103.215.54.146] GET /accounts/index.php | Page loaded
[2026-04-01 02:01:00] [PAGE  ] [-] [2402:8100:2a51:4c49:0:45:2be4:3501] GET / | Page loaded
[2026-04-01 02:01:00] [PAGE  ] [-] [2402:8100:2a51:4c49:0:45:2be4:3501] GET /auth/login.php | Page loaded
[2026-04-01 07:49:51] [PAGE  ] [-] [2a02:4780:11:c0de::e] HEAD / | Page loaded
[2026-04-01 07:49:51] [PAGE  ] [-] [2a02:4780:11:c0de::e] HEAD /auth/login.php | Page loaded
[2026-04-01 10:26:49] [PAGE  ] [-] [2402:8100:2a79:c0dd:0:25:f671:d201] GET / | Page loaded
[2026-04-01 10:26:50] [PAGE  ] [-] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /auth/login.php | Page loaded
[2026-04-01 10:27:02] [PAGE  ] [-] [2402:8100:2a79:c0dd:0:25:f671:d201] POST /auth/login.php | Page loaded
[2026-04-01 10:27:02] [ACTION] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] POST /auth/login.php | Login successful: admin (role: admin)
[2026-04-01 10:27:03] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /index.php | Page loaded
[2026-04-01 10:27:07] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/pipeline.php | Page loaded
[2026-04-01 10:27:14] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/create.php | Page loaded
[2026-04-01 10:27:55] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] POST /leads/create.php | Page loaded
[2026-04-01 10:27:55] [ACTION] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] POST /leads/create.php | Created lead: Saifu edathanatukara (ID: 571)
[2026-04-01 10:27:56] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/show.php?id=571 | Page loaded
[2026-04-01 10:27:58] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/index.php | Page loaded
[2026-04-01 10:27:58] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/pipeline.php | Page loaded
[2026-04-01 10:28:04] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] POST /leads/edit.php | Page loaded
[2026-04-01 10:28:05] [PAGE  ] [admin/admin] [2402:8100:2a79:c0dd:0:25:f671:d201] GET /leads/pipeline.php | Page loaded
[2026-04-01 11:12:52] [PAGE  ] [-] [157.51.216.93] GET /auth/login.php | Page loaded
[2026-04-01 11:53:02] [PAGE  ] [-] [103.215.54.146] GET / | Page loaded
[2026-04-01 11:53:02] [PAGE  ] [-] [103.215.54.146] GET /auth/login.php | Page loaded
[2026-04-01 11:53:22] [PAGE  ] [-] [103.215.54.146] POST /auth/login.php | Page loaded
[2026-04-01 11:53:22] [ACTION] [admin/admin] [103.215.54.146] POST /auth/login.php | Login successful: Admin (role: admin)
[2026-04-01 11:53:22] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:10:37] [PAGE  ] [admin/admin] [103.215.54.146] GET /vehicles/availability.php | Page loaded
[2026-04-01 12:11:13] [PAGE  ] [admin/admin] [103.215.54.146] GET /vehicles/availability.php?start_date=2026-04-18&end_date=2026-04-18 | Page loaded
[2026-04-01 12:13:23] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:13:28] [PAGE  ] [admin/admin] [103.215.54.146] POST /notifications/clear.php | Page loaded
[2026-04-01 12:13:28] [ACTION] [admin/admin] [103.215.54.146] POST /notifications/clear.php | Notification action: clear_all
[2026-04-01 12:13:28] [PAGE  ] [admin/admin] [103.215.54.146] GET /index.php | Page loaded
[2026-04-01 12:19:40] [PAGE  ] [admin/admin] [103.215.54.146] GET /vehicles/index.php | Page loaded
